player_idx,mean,sd,q05,q25,q50,q75,q95,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation
356,1.89898186662561,0.6257463370893465,1.0720260550814258,1.4530295457495606,1.8044299652002806,2.2385535432887296,3.016519247097656,4590360,Chucky Hepburn,G,28,TOR
531,1.8874392153549135,0.28150101951993756,1.452097819329616,1.6874867739984563,1.8721613304562257,2.0677844400632477,2.3753483589708217,5175647,Hugo Gonzalez,G,2,BOS
406,1.88522452271737,0.23189905881483128,1.527331656952346,1.7216038621708787,1.8724605446781366,2.0368086083872203,2.2811580346070417,4683766,Isaiah Collier,G,26,UTAH
453,1.8830763185728594,0.4339617351718659,1.2624748380743278,1.5766315718973394,1.8394844404779394,2.137994137636874,2.6516443843428013,4713010,David Jones Garcia,F,24,SA
316,1.88167978071957,0.24581362947783156,1.5038849706146982,1.7063032546111612,1.8739131223276329,2.04651747791755,2.303549630915723,4432907,Justin Champagnie,F,27,WSH
512,1.8801539756305294,0.2694784604992495,1.4666574155909142,1.6966626520626313,1.8619144349444952,2.051561782183679,2.3455609565607443,5106268,Nae'Qwan Tomlin,F,5,CLE
61,1.8779427419414882,0.34481527676295565,1.3652329768310203,1.6334449779361444,1.8525368403106943,2.084026857525986,2.4861089532336447,2999547,Gary Harris,G,15,MIL
203,1.875408550824265,0.3582324847316328,1.3351817264079315,1.6298719450227073,1.8490254521212228,2.0867239174085643,2.518768490118819,4279118,Keaton Wallace,G,1,ATL
291,1.8752531329850712,0.46637334332516545,1.1864150266008169,1.546463667646059,1.8282693901534048,2.158070292791627,2.7180927555738563,4432190,Andre Jackson Jr.,G,15,MIL
189,1.8710618760052717,0.219404005555083,1.5229052113779198,1.7205654761847307,1.8614210854307771,2.0116272702317146,2.2451387212477276,4278073,Shai Gilgeous-Alexander,G,25,OKC
80,1.8707993558383769,0.25347336730292597,1.4791362672453658,1.693424675497519,1.854329521774076,2.031980659986279,2.311939217924594,3102530,Jusuf Nurkic,C,26,UTAH
380,1.8687632039760327,0.22039685936046177,1.5189599548808668,1.719018708313058,1.8593097790226314,2.010229753461804,2.2450068939051517,4594268,Anthony Edwards,G,16,MIN
381,1.8646498972034855,0.24335151694721066,1.4964043933442774,1.6970383889387177,1.8472078887281822,2.0206145622237126,2.2815171058006323,4594326,Kris Murray,F,22,POR
95,1.8640015225362143,0.28778318988590884,1.4274001538540033,1.65925240881295,1.846534455922328,2.0506239374383366,2.367529022491005,3135046,Tyus Jones,G,19,ORL
235,1.8625794567553966,0.24923866809118045,1.4674011974665826,1.6880565222448836,1.852001197390567,2.021284530022338,2.2930891349880445,4397040,Brandon Williams,G,6,DAL
487,1.8589512181210117,0.25985320237203996,1.4567125560094074,1.6776337091103075,1.8468499583975129,2.0268742327918403,2.3033025034867096,5037871,Dylan Harper,G,24,SA
261,1.8555083982967022,0.23493613386542594,1.4810423659185827,1.6938297429068656,1.8453037464854196,2.008582975224492,2.259688577531405,4431679,Precious Achiuwa,PF,23,SAC
497,1.854546012649073,0.24855579328960362,1.4664023440753708,1.678643136501064,1.840966275410818,2.0163275129294846,2.282622805024016,5093267,Collin Murray-Boyles,F,28,TOR
467,1.8440617168816105,0.24218901430803133,1.4738547931898796,1.6735659213626848,1.8290850066679334,2.0029535307199744,2.2638961986659276,4888725,Ryan Dunn,F,21,PHX
461,1.8373103093595096,0.23093413158266277,1.477527637160788,1.6723592593621057,1.824129790805147,1.9934783949355064,2.223922822447741,4870562,Dominick Barlow,F,20,PHI
149,1.83444987345703,0.21146349561661898,1.4971083447788838,1.6858510572276864,1.828681960091016,1.972519626510559,2.195783219264465,4066259,De'Aaron Fox,G,24,SA
485,1.8343126840004038,0.41053536163115506,1.2604438273804295,1.5393880317051658,1.7905573093691838,2.0693765280723446,2.5637844273215515,4997539,Luke Travers,F,5,CLE
177,1.8337357115718493,0.41363172588523467,1.214151455076698,1.5459948536466332,1.8010784119029584,2.0799012047891963,2.568707168695464,4277905,Trae Young,G,1,ATL
320,1.8320765168084872,0.1878485279039562,1.5296630832028133,1.7034995385913938,1.8250368314794336,1.9528371921510352,2.1504911419677533,4433134,Scottie Barnes,F,28,TOR
45,1.8313342615631616,0.25840616105736,1.4318351757213443,1.6488688678677668,1.8156598156261916,1.996602736788963,2.2734664357299312,2581018,Kentavious Caldwell-Pope,G,29,MEM
446,1.8237582037653786,0.2159105923217297,1.4853538641713118,1.671909408993606,1.817362442294983,1.9688178821301097,2.192261083674404,4709138,Brandin Podziemski,G,9,GS
418,1.823168096110674,0.21753940965877513,1.4766870230471805,1.6739599977704882,1.8142101572316491,1.962355396738429,2.19865739901189,4684793,Kyle Filipowski,F,26,UTAH
107,1.8225417930412335,0.34523391263440845,1.302528306986736,1.5791512927312852,1.7941304194263195,2.034416990791212,2.434338583567035,3150844,Moritz Wagner,F,19,ORL
486,1.8134652166534413,0.355302521052856,1.2890052447675964,1.5598974782192447,1.7833840252667212,2.0395998588097872,2.4410402050573787,5023693,Tyrese Proctor,G,5,CLE
471,1.8116043879166368,0.42637017875041366,1.2095616633924526,1.5056441415567317,1.7671003067198323,2.0610820952356574,2.580715588373363,4897449,Malevy Leons,F,9,GS
48,1.809872486971724,0.22852753930681477,1.4489525325421226,1.648554185862599,1.799214596942028,1.9619228052512947,2.1985638350890166,2595516,Norman Powell,G,14,MIA
355,1.803350600067757,0.54951671615587006,1.0447921395217148,1.4213854689316614,1.7318830354095298,2.0991135869129485,2.814932358769192,4585618,Keshon Gilbert,G,27,WSH
17,1.800678218686124,0.25770691190755746,1.396585656123989,1.6217494538628678,1.787435657187805,1.966257929949127,2.24369527718481,3995,Jrue Holiday,G,22,POR
301,1.7940733141190763,0.3489004449223037,1.274201314849502,1.5460080059596777,1.7691980507613625,2.009036878716532,2.4157735485116847,4432809,Cole Anthony,G,15,MIL
71,1.7928287374626672,0.21928987976630518,1.4508221385407614,1.6397430639300308,1.783373313572852,1.9323516822852906,2.1721199927431742,3062679,Josh Hart,G,18,NY
248,1.7865083701372324,0.5989046737104976,0.9729280467416537,1.3686302389644822,1.7033933575951727,2.0985490709340846,2.8916842414426287,4397450,Darius Brown,G,5,CLE
495,1.784307550346632,0.2303344482232164,1.4217464834496858,1.6163849594051916,1.7761339939654,1.9382880591647131,2.1723172061128757,5081727,Sidy Cissoko,G,22,POR
272,1.7816851872790525,0.33213790180992775,1.2795656499595818,1.5469400106982554,1.7563588816574391,1.986327802044201,2.3847430063550346,4431772,Myron Gardner,F,14,MIA
44,1.7810309256855743,0.33568784725118533,1.2781748063722675,1.545783193126583,1.7525886285482124,1.984078214054861,2.384928696825169,2580365,Larry Nance Jr.,F,5,CLE
366,1.7771209888080475,0.29133431726054526,1.3223590359308324,1.5733229989516142,1.758337957824574,1.9625555550886427,2.2892623299606742,4592492,Bones Hyland,G,16,MIN
303,1.772938712501307,0.30486894170288564,1.308731530750956,1.5635455208859925,1.7578448659022912,1.9662752434562034,2.314846369439189,4432811,Josh Green,G,30,CHA
299,1.7703382535050565,0.5863292091711994,0.9862983326220254,1.3439265800497513,1.6775356043149332,2.09103244984049,2.8449573665768564,4432645,Trevor Keels,G,14,MIA
169,1.7696744031296516,0.4957587322356451,1.0652191534050226,1.409776092360402,1.7109500224230898,2.0680578786112642,2.6838279701769716,4067017,A.J. Lawson,G,28,TOR
431,1.769552484752667,0.6015042326638259,0.9747647907856122,1.349936869266723,1.672015219721446,2.0863527404426288,2.902299054391088,4701992,Max Shulga,G,2,BOS
226,1.7682707671404714,0.2914930285071916,1.327164688038362,1.5599714018760809,1.7489040527639825,1.9573105047347665,2.2635379580878463,4396818,Jordan Miller,G,12,LAC
211,1.7668808771744196,0.26671557319850847,1.3554849472018287,1.5777774480812843,1.754065424237877,1.9359763804397658,2.227590381740414,4351852,Mitchell Robinson,C,18,NY
437,1.7653486284851299,0.23201257093321243,1.4085972076349866,1.6005096265128143,1.749397966275608,1.9146871781507824,2.1649866117504084,4702384,Nique Clifford,G,23,SAC
331,1.7620913026347884,0.5445667151696671,1.00008750309115,1.3770182439472793,1.6899641753965116,2.0661895150578062,2.7504866595815365,4433246,Patrick Baldwin Jr.,G,12,LAC
338,1.7574266817353421,0.5975850872078036,0.9682395490272889,1.3398397791099534,1.66862503266273,2.061096968636683,2.8575366906003907,4433378,Colby Jones,G,8,DET
224,1.7548173426964087,0.20028713798765155,1.4415569841155123,1.6171701574390078,1.7455186493171229,1.8808072993575786,2.093992610315225,4395724,Immanuel Quickley,G,28,TOR
538,1.7512379159428413,0.3105767574619332,1.2766876909763716,1.5349492263313103,1.7317410999032388,1.9366470903240505,2.298100314795064,5214640,Kasparas Jakucionis,G,14,MIA
284,1.7472509036553845,0.2707464478908678,1.3278686115204976,1.5575547734768582,1.7292956044701415,1.921597011182021,2.225683846601094,4432170,Isaiah Jackson,F,11,IND
197,1.7428015418118772,0.3650472682620153,1.1968915469171748,1.4817594283369213,1.7115212113386304,1.9737251657166248,2.367415233991643,4278516,Ethan Thompson,G,11,IND
504,1.7420314300445072,0.33415195720517193,1.2535940774168646,1.5048268770609394,1.7176353297219658,1.9441856408476967,2.338608110783909,5105592,Cam Whitmore,F,27,WSH
47,1.7359196206452443,0.19389563701603332,1.4349938575072618,1.599511975525865,1.7266414035018642,1.8589661964231463,2.073320922455001,2583632,Royce O'Neale,F,21,PHX
463,1.7349979267655475,0.20309795537903338,1.419220480626388,1.5972084776179272,1.7229421107110539,1.8677305741370007,2.0872717674817154,4871144,Alperen Sengun,C,10,HOU
